configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,27533426,33.7,1.02, 0:02.98,1164,499,185.35,11035.44
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,27604453,34.69,1.06, 0:03.00,1188,499,185.98,11063.91
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,27675986,34.73,1.06, 0:03.08,1158,499,180.93,11092.58
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,28681711,27.67,1.06, 0:02.33,1228,499,249.31,11495.68
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,28778514,25.04,1.01, 0:02.04,1274,499,291.78,11534.47
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,30956846,31.08,1.13, 0:02.45,1312,499,234.86,12407.55
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,19774160,20.44,0.94, 0:01.69,1260,499,363.12,7925.52
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,61636632,6.37,0.87, 0:01.14,633,499,610.53,24704.06
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,21532025,23.74,0.75, 0:01.69,1444,499,356.24,8630.07
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,21467062,27.19,1.09, 0:01.95,1449,499,307.57,8604.03
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,21384030,22.7,0.91, 0:01.67,1407,499,371.57,8570.75
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,28369206,38.46,1.09, 0:03.24,1218,499,171.71,11370.42
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,25307608,31.71,0.86, 0:03.80,855,499,142.82,10143.33
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,44196330,36.67,1.03, 0:03.92,961,499,138.39,17713.96
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,24924227,27.18,0.81, 0:02.97,941,499,188.4,9989.67
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,24742886,262.88,1.06, 0:20.07,1314,499,25.29,9916.99
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,30240425,490.95,1.09, 0:28.92,1701,499,17.46,12120.41
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,45190178,182.2,1.01, 0:12.48,1467,499,40.94,18112.3
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,61647276,6.53,0.65, 0:01.11,642,499,602.3,24708.33
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,43209046,70.24,1.0, 0:05.21,1365,499,102.36,17318.25
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,22512146,130.37,1.33, 0:12.00,1097,499,42.73,9022.9
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,42650280,140.35,1.53, 0:13.51,1049,499,37.74,17094.3
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,22211217,160.19,1.43, 0:16.56,975,499,30.72,8902.29
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,31660279,92.52,1.0, 0:08.15,1146,499,63.77,12689.49
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,28581794,56.48,0.86, 0:04.64,1233,499,116.0,11455.63
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,48036364,41.5,1.04, 0:03.43,1238,499,160.89,19253.05
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,32694099,89.56,1.25, 0:07.70,1179,499,67.84,13103.85
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,32682958,92.96,1.26, 0:07.98,1180,499,65.22,13099.38
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,21782547,31.99,0.86, 0:02.49,1316,499,230.92,8730.48
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,61647276,6.53,0.57, 0:01.06,665,499,633.6,24708.33
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,22895179,80.2,1.21, 0:06.81,1195,499,77.03,9176.42
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,22090578,54.82,0.95, 0:04.39,1269,499,122.81,8853.94
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,22113237,50.39,1.14, 0:03.98,1292,499,136.8,8863.02
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,22091610,55.47,0.97, 0:04.36,1292,499,123.68,8854.35
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,20153518,30.7,0.88, 0:02.59,1218,499,221.75,8077.56
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,29470728,57.24,0.95, 0:04.36,1333,499,122.51,11811.92
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,25362278,138.72,0.84, 0:10.55,1322,499,48.62,10165.24
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,26186251,90.91,0.82, 0:07.53,1216,499,68.82,10495.49
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,26168156,121.32,0.91, 0:08.67,1408,499,59.52,10488.24
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,25056100,89.06,1.39, 0:06.18,1463,499,85.31,10042.53
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,61647276,6.14,0.8, 0:01.14,607,499,611.37,24708.33
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,23046262,32.84,1.0, 0:04.48,754,499,120.35,9236.98
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,19019754,89.1,1.33, 0:05.83,1550,499,90.81,7623.15
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,26735950,92.33,1.38, 0:08.48,1105,499,61.21,10715.81
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,40698862,61.72,1.22, 0:06.41,980,499,81.84,16312.17
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,29665608,43.99,1.12, 0:03.82,1178,499,143.17,11890.02
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,35067800,63.05,1.33, 0:05.95,1080,499,88.71,14055.23
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,32869575,38.91,0.84, 0:03.81,1042,499,141.42,13174.18
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,23719011,54.51,1.02, 0:04.46,1243,499,120.72,9506.62
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,23938854,56.78,1.28, 0:07.17,808,499,72.96,9594.73
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,26098548,85.54,0.99, 0:08.11,1066,499,64.17,10460.34
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,61556736,6.57,0.74, 0:01.13,646,499,624.98,24672.04
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,26207661,88.34,0.9, 0:07.86,1135,499,66.25,10504.07
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,38590604,106.47,0.93, 0:08.37,1282,499,62.12,15467.18
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,28710846,24.14,0.78, 0:02.03,1228,499,286.98,11507.35
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,19166876,39.72,1.05, 0:03.43,1186,499,158.4,7682.11
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,28710846,24.28,0.9, 0:02.09,1199,499,283.49,11507.35
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,26182278,106.89,3.7, 0:13.35,828,499,38.32,10493.9
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,29439571,48.08,2.25, 0:08.21,612,499,63.14,11799.43
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,25132892,176.76,2.8, 0:14.33,1252,499,35.66,10073.3
