configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,5575988,24.67,1.19, 0:03.43,752,600,198.27,2228.17
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5581082,27.07,0.84, 0:03.02,921,600,230.2,2230.2
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5099525,22.23,0.96, 0:03.11,744,600,221.69,2037.77
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,5704273,28.42,0.9, 0:03.04,963,600,228.35,2279.43
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,5540751,28.59,0.94, 0:04.58,644,600,143.42,2214.09
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5575733,23.91,0.82, 0:03.06,808,600,226.5,2228.07
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,6249213,25.89,1.03, 0:03.23,832,600,213.42,2497.19
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,5168404,24.11,0.97, 0:03.34,750,600,204.34,2065.3
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,5170897,23.83,0.98, 0:03.52,704,600,192.48,2066.29
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7217386,8.32,0.7, 0:01.17,767,600,785.59,2884.07
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,5418542,23.46,0.97, 0:03.51,696,600,189.94,2165.25
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,5215232,24.55,1.05, 0:03.45,740,600,195.71,2084.01
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,5167169,29.21,1.03, 0:05.59,540,600,115.94,2064.8
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,5723010,24.0,0.77, 0:02.66,930,600,261.52,2286.92
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,6196339,23.87,1.0, 0:02.62,948,600,270.1,2476.06
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,5882146,24.97,0.83, 0:02.67,965,600,265.11,2350.51
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5267245,19.65,0.98, 0:02.54,810,600,280.9,2104.79
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5454528,20.65,0.85, 0:02.47,867,600,292.58,2179.63
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5945413,21.16,1.12, 0:02.55,873,600,281.45,2375.79
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6598532,18.59,0.85, 0:01.73,1121,600,450.89,2636.78
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12069199,5.77,0.64, 0:01.17,545,600,764.4,4822.86
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,7200354,22.35,0.83, 0:01.88,1228,600,401.51,2877.26
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,7192474,26.54,0.9, 0:02.16,1270,600,341.25,2874.12
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,7037147,22.79,0.93, 0:01.97,1204,600,380.8,2812.05
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,5575733,25.71,0.91, 0:03.11,854,600,221.11,2228.07
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,7001299,28.15,0.79, 0:03.92,737,600,170.77,2797.72
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,5936492,22.76,0.78, 0:03.00,782,600,229.66,2372.22
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6937099,22.98,0.9, 0:02.93,813,600,235.82,2772.07
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,5888923,123.34,1.12, 0:14.35,867,600,43.06,2353.22
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,5437432,188.81,1.31, 0:17.23,1103,600,35.72,2172.8
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,5357462,73.86,1.05, 0:08.45,886,600,74.65,2140.84
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,12088696,6.17,0.57, 0:01.20,559,600,772.5,4830.65
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,5813950,53.19,0.89, 0:05.78,935,600,112.34,2323.26
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6389054,126.43,1.11, 0:14.92,854,600,41.38,2553.07
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,5744857,79.65,1.16, 0:12.31,656,600,50.45,2295.65
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,7175571,125.54,1.04, 0:16.47,768,600,37.36,2867.36
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,6021646,55.27,1.39, 0:08.22,689,600,77.13,2406.25
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,5258944,43.23,1.14, 0:05.27,841,600,124.15,2101.48
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,6494656,26.95,1.03, 0:04.25,658,600,155.43,2595.27
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,7374700,56.75,1.02, 0:08.25,699,600,76.81,2946.93
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,7508217,59.05,1.17, 0:08.36,720,600,75.69,3000.29
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6866504,34.18,1.03, 0:03.22,1093,600,216.2,2743.86
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,12088696,6.27,0.68, 0:01.28,539,600,676.95,4830.65
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,7635409,65.19,1.23, 0:08.27,802,600,76.47,3051.11
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6643781,45.7,1.09, 0:04.89,957,600,134.58,2654.86
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,6644590,45.9,1.02, 0:04.75,986,600,138.86,2655.18
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,6647792,45.15,1.1, 0:04.82,958,600,136.02,2656.46
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6274191,32.64,1.07, 0:03.09,1088,600,226.35,2507.17
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,6524919,42.98,1.24, 0:04.98,887,600,132.5,2607.36
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,5060463,81.06,1.15, 0:10.94,751,600,57.13,2022.16
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,5338929,64.09,1.38, 0:10.50,623,600,59.74,2133.44
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,5341561,87.5,1.06, 0:10.67,830,600,58.47,2134.49
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,5515053,63.72,1.07, 0:06.32,1025,600,101.2,2203.82
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,12088696,5.82,0.74, 0:01.31,498,600,660.92,4830.65
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,5066613,31.92,1.26, 0:06.78,488,600,94.79,2024.62
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,6882260,72.53,1.29, 0:06.28,1174,600,103.02,2750.15
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,6520406,78.7,1.01, 0:09.70,821,600,64.51,2605.56
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,6826475,34.42,0.95, 0:05.07,697,600,128.34,2727.86
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,6671462,40.22,1.09, 0:05.51,748,600,117.33,2665.92
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,7528608,55.38,1.13, 0:06.62,852,600,97.12,3008.43
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,6397376,30.75,0.93, 0:03.79,834,600,175.88,2556.39
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,5150571,50.75,0.91, 0:05.94,869,600,108.56,2058.17
