configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4461827,2.77,0.43, 0:00.54,585,600,1633.33,1786.04
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2768072,11.44,0.58, 0:01.51,796,600,448.3,1108.04
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2229714,9.77,0.35, 0:00.96,1050,600,731.75,892.54
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2279438,10.45,0.44, 0:01.01,1076,600,686.99,912.44
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,4261797,27.11,0.55, 0:02.68,1031,600,236.84,1705.97
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,4306462,14.76,0.41, 0:01.18,1284,600,580.4,1723.85
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2842486,7.99,0.49, 0:00.85,992,600,902.66,1137.83
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2812283,7.33,0.44, 0:00.81,948,600,926.79,1125.74
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2379919,9.65,0.53, 0:01.31,776,600,527.65,952.67
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2537302,9.95,0.46, 0:01.04,1002,600,671.31,1015.67
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,2125306,9.79,0.53, 0:01.24,831,600,560.32,850.75
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3320450,3.9,0.41, 0:00.53,801,600,1626.55,1329.15
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,4215822,18.26,0.34, 0:01.81,1026,600,360.16,1687.57
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2779259,12.54,0.52, 0:01.37,952,600,491.39,1112.52
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2785224,14.54,0.46, 0:01.35,1111,600,509.4,1114.91
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2340604,11.99,0.5, 0:01.25,995,600,562.39,936.93
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,2419030,14.73,0.53, 0:01.47,1037,600,463.49,968.32
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2732878,16.17,0.5, 0:01.81,921,600,368.21,1093.95
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2780663,12.58,0.52, 0:01.24,1052,600,559.08,1113.08
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3124335,13.18,0.5, 0:01.26,1081,600,553.33,1250.65
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2354073,11.74,0.55, 0:01.29,950,600,533.54,942.32
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,2349973,12.07,0.5, 0:01.30,962,600,529.1,940.68
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3320450,3.98,0.34, 0:00.51,844,600,1606.6,1329.15
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,2065149,11.35,0.54, 0:01.29,922,600,533.76,826.67
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,2358606,11.6,0.48, 0:01.20,1000,600,581.92,944.13
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2264164,15.6,0.47, 0:01.74,921,600,375.02,906.33
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3537917,13.33,0.53, 0:01.12,1231,600,626.68,1416.2
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3537918,11.57,0.46, 0:00.98,1227,600,732.56,1416.2
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,3729390,11.72,0.42, 0:00.93,1306,600,764.99,1492.85
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2655829,11.22,0.51, 0:01.22,961,600,572.19,1063.11
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2702011,10.63,0.53, 0:01.09,1022,600,659.87,1081.6
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2814975,11.34,0.57, 0:01.23,966,600,568.85,1126.82
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3971197,9.82,0.49, 0:00.77,1333,600,986.75,1589.64
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4430144,2.92,0.48, 0:00.52,642,600,1644.3,1773.36
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4397411,12.83,0.54, 0:00.93,1427,600,789.93,1760.25
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4392688,13.06,0.61, 0:00.93,1456,600,755.32,1758.36
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,4371447,12.7,0.54, 0:00.99,1338,600,735.4,1749.86
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,2780663,12.54,0.5, 0:01.37,950,600,500.43,1113.08
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3789890,16.08,0.47, 0:02.12,780,600,308.96,1517.07
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,2507224,10.73,0.41, 0:01.01,1099,600,694.56,1003.63
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3771745,10.53,0.52, 0:00.98,1128,600,737.0,1509.8
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,2902576,58.05,0.54, 0:07.16,817,600,86.0,1161.88
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,2047711,74.74,0.78, 0:07.60,993,600,80.62,819.69
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,2170019,37.76,0.5, 0:03.33,1148,600,188.09,868.64
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4461827,2.82,0.47, 0:00.50,648,600,1725.32,1786.04
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,2591133,28.44,0.42, 0:02.80,1029,600,229.12,1037.21
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3302340,51.01,0.43, 0:06.94,740,600,88.61,1321.9
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,2318488,34.02,0.73, 0:03.92,884,600,159.66,928.08
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3830198,50.96,0.34, 0:07.71,664,600,79.61,1533.2
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,2925547,29.41,0.55, 0:02.96,1009,600,212.9,1171.08
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,2621537,22.61,0.54, 0:02.52,916,600,255.0,1049.38
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,2573167,12.92,0.46, 0:01.35,988,600,512.84,1030.02
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,4381644,29.54,0.49, 0:03.63,826,600,173.33,1753.94
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,4476718,30.96,0.72, 0:03.62,874,600,173.83,1792.0
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4301462,18.2,0.45, 0:01.81,1028,600,364.82,1721.85
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,4461827,2.98,0.38, 0:00.52,637,600,1680.32,1786.04
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4928098,33.2,0.62, 0:04.07,830,600,153.78,1972.68
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4149963,24.47,0.47, 0:02.72,916,600,235.09,1661.2
