configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9137085,4.63,0.84, 0:01.27,428,599,622.09,3657.28
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,4689502,21.13,0.93, 0:04.09,538,599,159.99,1877.06
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4906493,18.95,1.12, 0:03.16,634,599,211.75,1963.91
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4991541,21.82,1.16, 0:03.12,736,599,215.39,1997.95
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,5952202,39.43,1.21, 0:03.60,1128,599,183.7,2382.47
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,6080800,25.65,1.1, 0:02.45,1088,599,278.69,2433.95
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6223461,14.17,0.94, 0:01.97,764,599,365.72,2491.05
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6222666,15.42,0.88, 0:01.94,836,599,366.1,2490.73
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4506685,17.73,1.1, 0:03.17,592,599,208.21,1803.88
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4797341,18.89,1.15, 0:03.23,620,599,206.04,1920.22
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,5236708,17.74,1.12, 0:03.05,617,599,219.07,2096.08
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6682258,7.25,0.78, 0:01.28,623,599,618.72,2674.69
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,5595161,29.79,1.08, 0:03.78,815,599,173.25,2239.56
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,4718411,22.96,0.75, 0:03.54,668,599,186.79,1888.63
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4706959,26.12,0.76, 0:03.41,786,599,193.64,1884.04
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4365660,21.35,0.8, 0:03.31,668,599,201.63,1747.43
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,5159074,27.73,0.97, 0:03.44,833,599,194.1,2065.01
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,4533710,28.65,0.7, 0:04.31,679,599,150.09,1814.7
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4715790,22.93,0.9, 0:03.35,710,599,199.22,1887.58
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5547154,23.44,0.86, 0:03.38,718,599,197.23,2220.35
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,4435023,22.83,0.93, 0:03.80,624,599,172.99,1775.2
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,4433119,22.64,0.78, 0:03.55,659,599,185.76,1774.43
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6682258,7.08,0.95, 0:01.36,590,599,575.16,2674.69
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,4943633,22.35,0.94, 0:03.80,611,599,173.47,1978.78
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,4466496,22.64,0.83, 0:03.86,607,599,169.25,1787.79
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,4348276,28.33,0.84, 0:05.28,552,599,120.91,1740.47
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,5787858,22.4,0.89, 0:02.99,778,599,223.65,2316.69
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,5838373,22.69,0.77, 0:03.09,758,599,217.13,2336.91
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,6089525,23.54,0.88, 0:03.01,811,599,224.26,2437.44
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4571173,18.58,0.94, 0:02.75,708,599,248.67,1829.69
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4672657,20.09,0.93, 0:02.89,727,599,235.99,1870.31
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5433601,20.3,0.92, 0:02.88,737,599,235.64,2174.89
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,5658064,18.11,1.1, 0:02.05,937,599,348.36,2264.74
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9111055,5.11,0.82, 0:01.24,478,599,654.73,3646.86
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6027469,20.85,0.95, 0:02.00,1087,599,356.12,2412.6
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6025161,23.73,1.15, 0:02.10,1180,599,336.24,2411.68
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,5951371,19.87,1.19, 0:02.07,1016,599,345.78,2382.14
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,4715790,23.0,0.77, 0:03.44,690,599,192.11,1887.58
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,5868893,25.1,0.96, 0:03.09,843,599,216.15,2349.13
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,5279526,20.57,0.83, 0:02.55,838,599,268.62,2113.22
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,5863693,18.29,0.93, 0:02.20,870,599,317.54,2347.05
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,4895735,106.31,0.99, 0:10.28,1043,599,60.26,1959.6
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,4856954,177.63,1.12, 0:15.38,1161,599,39.83,1944.08
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,4812564,75.79,0.89, 0:06.88,1113,599,91.59,1926.31
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9137085,5.58,0.72, 0:01.20,525,599,676.83,3657.28
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,5174451,55.65,0.89, 0:05.18,1090,599,124.05,2071.16
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,5367114,102.03,1.27, 0:12.67,815,599,48.57,2148.28
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,5129489,68.84,0.68, 0:09.21,754,599,67.28,2053.17
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6058340,91.86,1.31, 0:11.17,833,599,55.24,2424.96
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,5167737,43.12,0.88, 0:04.62,950,599,139.48,2068.48
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,4340731,34.67,1.0, 0:03.80,937,599,172.55,1737.45
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,5855375,22.91,0.85, 0:03.64,652,599,181.24,2343.72
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,6858135,43.94,1.18, 0:04.46,1010,599,144.96,2745.09
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,6899834,45.46,0.97, 0:04.58,1013,599,140.75,2761.78
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,5642772,26.98,1.04, 0:02.53,1105,599,270.17,2258.62
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,9137085,5.35,0.85, 0:01.13,546,599,726.59,3657.28
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,6517904,49.23,1.18, 0:04.71,1068,599,136.54,2608.91
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,5479615,34.5,0.99, 0:03.26,1087,599,203.62,2193.31
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,5481694,35.26,1.01, 0:03.26,1110,599,203.72,2194.14
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,5486498,35.66,0.92, 0:03.33,1096,599,198.28,2196.07
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,5256220,25.39,1.03, 0:02.45,1077,599,280.2,2103.89
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,5785297,33.45,0.96, 0:03.25,1057,599,202.89,2315.67
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,4222039,69.39,0.73, 0:07.05,993,599,89.04,1689.94
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,4540089,53.12,0.72, 0:06.52,825,599,96.68,1817.25
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,4528920,71.98,0.77, 0:07.13,1019,599,88.04,1812.78
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,4783690,53.72,0.92, 0:04.74,1152,599,135.03,1914.76
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,9137085,4.48,0.65, 0:01.05,486,599,779.67,3657.28
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,4456352,24.23,0.85, 0:04.22,593,599,152.23,1783.73
